season,player_id,player_name,team,roster_status,profile_url,source_note
2026,0000004646,翁瑋均,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000004646,CPBL 官方球員點將錄
2026,0000005291,蔣少宏,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005291,CPBL 官方球員點將錄
2026,0000007779,蔣銲,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007779,CPBL 官方球員點將錄
2026,0000007307,薛毓達,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007307,CPBL 官方球員點將錄
2026,0000007308,許博閎,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007308,CPBL 官方球員點將錄
2026,0000007310,許子謙,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007310,CPBL 官方球員點將錄
2026,0000006722,賴知頎,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000006722,CPBL 官方球員點將錄
2026,0000006215,趙璟榮,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006215,CPBL 官方球員點將錄
2026,0000005549,郭天信,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005549,CPBL 官方球員點將錄
2026,0000005541,郭郁政,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005541,CPBL 官方球員點將錄
2026,0000006881,鄭展昊,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000006881,CPBL 官方球員點將錄
2026,0000006497,鋼龍,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006497,CPBL 官方球員點將錄
2026,0000005555,陳冠偉,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005555,CPBL 官方球員點將錄
2026,0000000743,陳子豪,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000000743,CPBL 官方球員點將錄
2026,0000006729,陳志杰,味全龍,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000006729,CPBL 官方球員點將錄
2026,0000006728,陳思仲,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006728,CPBL 官方球員點將錄
2026,0000006750,陳暐皓,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000006750,CPBL 官方球員點將錄
2026,0000000135,陳禹勳,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000000135,CPBL 官方球員點將錄
2026,0000007082,陽念祖,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007082,CPBL 官方球員點將錄
2026,0000007264,魔神龍,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007264,CPBL 官方球員點將錄
2026,0000007081,黃侰程,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007081,CPBL 官方球員點將錄
2026,0000007581,黃暐傑,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007581,CPBL 官方球員點將錄
2026,0000005538,黃柏豪,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000005538,CPBL 官方球員點將錄
2026,0000007306,黃贊維,味全龍,現役,https://cpbl.com.tw/team/person?acnt=0000007306,CPBL 官方球員點將錄
2026,0000006743,劉俊豪,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000006743,CPBL 官方球員點將錄
2026,0000007592,劉承佑,富邦悍將,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007592,CPBL 官方球員點將錄
2026,0000001524,劉昱言,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000001524,CPBL 官方球員點將錄
2026,0000000367,吳世豪,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000000367,CPBL 官方球員點將錄
2026,0000006868,周佳樂,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000006868,CPBL 官方球員點將錄
2026,0000007782,威戈神,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000007782,CPBL 官方球員點將錄
2026,0000006738,孔念恩,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000006738,CPBL 官方球員點將錄
2026,0000007805,山崎正義,富邦悍將,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007805,CPBL 官方球員點將錄
2026,0000005292,岳少華,富邦悍將,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000005292,CPBL 官方球員點將錄
2026,0000002280,廖任磊,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000002280,CPBL 官方球員點將錄
2026,0000005790,張奕,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000005790,CPBL 官方球員點將錄
2026,0000000361,張洺瑀,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000000361,CPBL 官方球員點將錄
2026,0000000938,張瑞麟,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000000938,CPBL 官方球員點將錄
2026,0000006888,張育成,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000006888,CPBL 官方球員點將錄
2026,0000007591,張育豪,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000007591,CPBL 官方球員點將錄
2026,0000000910,張進德,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000000910,CPBL 官方球員點將錄
2026,0000007832,悍里歐,富邦悍將,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007832,CPBL 官方球員點將錄
2026,0000004645,戴培峰,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000004645,CPBL 官方球員點將錄
2026,0000006227,曾峻岳,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000006227,CPBL 官方球員點將錄
2026,0000000773,李吳永勤,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000000773,CPBL 官方球員點將錄
2026,0000001473,李宗賢,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000001473,CPBL 官方球員點將錄
2026,0000005561,李建勳,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000005561,CPBL 官方球員點將錄
2026,0000007577,李斯特,富邦悍將,自主培訓或尚未註冊（二軍）,https://cpbl.com.tw/team/person?acnt=0000007577,CPBL 官方球員點將錄
2026,0000006739,李東洺,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000006739,CPBL 官方球員點將錄
2026,0000007093,李祐賢,富邦悍將,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007093,CPBL 官方球員點將錄
2026,0000003339,林哲瑄,富邦悍將,註銷註冊（二軍）,https://cpbl.com.tw/team/person?acnt=0000003339,CPBL 官方球員點將錄
2026,0000007090,林家勝,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000007090,CPBL 官方球員點將錄
2026,0000001606,林岱安,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000001606,CPBL 官方球員點將錄
2026,0000006872,林岳谷,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000006872,CPBL 官方球員點將錄
2026,0000001754,林書逸,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000001754,CPBL 官方球員點將錄
2026,0000006870,林栚呈,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000006870,CPBL 官方球員點將錄
2026,0000005510,林澤彬,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000005510,CPBL 官方球員點將錄
2026,0000007031,林莛淯,富邦悍將,合約所屬球員（二軍）,https://cpbl.com.tw/team/person?acnt=0000007031,CPBL 官方球員點將錄
2026,0000007297,楊泯貽,富邦悍將,現役,https://cpbl.com.tw/team/person?acnt=0000007297,CPBL 官方球員點將錄
