snapshot_id,captured_at,season,player_id,player_name,team,player_type,role_or_position,pa,ab,hits,home_runs,walks,strikeouts,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,contact_score,power_score,discipline_score,hitter_value_score,innings_pitched,earned_runs,hits_allowed,home_runs_allowed,era,whip,k_bb_ratio,hr_allowed_rate,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000001804,陳傑憲,統一7-ELEVEn獅,打者,野手,230.0,193.0,62.0,3.0,30,20,0.321,0.405,0.409,0.814,0.088,0.113,0.087,0.013,1.5,32.1,19.9,67.3,38.8,,,,,,,,,,,,,38.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000003345,林智平,樂天桃猿,打者,野手,201.0,185.0,53.0,1.0,11,20,0.286,0.335,0.341,0.676,0.055,0.0498,0.0995,0.005,0.7,28.6,11.3,47.5,30.3,,,,,,,,,,,,,30.3
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005510,林澤彬,富邦悍將,打者,野手,206.0,176.0,53.0,0.0,16,16,0.301,0.359,0.375,0.734,0.074,0.0777,0.0777,0.0,1.13,30.1,12.7,57.6,33.7,,,,,,,,,,,,,33.7
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006738,孔念恩,富邦悍將,打者,野手,196.0,183.0,57.0,1.0,5,47,0.311,0.327,0.415,0.742,0.104,0.0255,0.2398,0.0051,0.15,31.1,19.7,32.7,31.8,,,,,,,,,,,,,31.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006806,池恩齊,富邦悍將,打者,野手,197.0,177.0,39.0,0.0,11,54,0.22,0.265,0.26,0.525,0.04,0.0558,0.2741,0.0,0.2,22.0,6.8,37.5,23.2,,,,,,,,,,,,,23.2
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000002297,詹子賢,中信兄弟,打者,野手,204.0,186.0,47.0,2.0,16,29,0.253,0.314,0.339,0.653,0.086,0.0784,0.1422,0.0098,0.59,25.3,18.4,50.0,30.9,,,,,,,,,,,,,30.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000001291,郭阜林,台鋼雄鷹,打者,野手,150.0,140.0,35.0,1.0,7,32,0.25,0.3,0.307,0.607,0.057,0.0467,0.2133,0.0067,0.31,25.0,12.2,39.0,26.9,,,,,,,,,,,,,26.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007071,林泓弦,統一7-ELEVEn獅,打者,野手,118.0,108.0,22.0,0.0,7,15,0.204,0.259,0.259,0.518,0.055,0.0593,0.1271,0.0,0.53,20.4,9.4,46.5,24.6,,,,,,,,,,,,,24.6
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000001258,劉時豪,台鋼雄鷹,打者,野手,162.0,131.0,31.0,1.0,22,21,0.237,0.375,0.282,0.657,0.045,0.1358,0.1296,0.0062,1.38,23.7,10.0,68.7,31.8,,,,,,,,,,,,,31.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006217,林辰勳,味全龍,打者,野手,112.0,95.0,26.0,0.0,8,23,0.274,0.318,0.326,0.644,0.052,0.0714,0.2054,0.0,0.35,27.4,8.9,44.2,28.4,,,,,,,,,,,,,28.4
