season,player_name,team,role,innings_pitched,earned_runs,hits_allowed,walks,strikeouts,home_runs_allowed,era,whip,k_bb_ratio,k_rate,bb_rate,hr_allowed_rate,source_note,player_id,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score,player_type
2026,陳仕朋,富邦悍將,投手,24.667,22,32,8,14,4,8.03,1.62,1.75,0.125,0.0714,0.0357,CPBL 官方全記錄查詢,0000000363,87.8,25.0,52.6,61.5,61.5,投手
2026,吳君奕,味全龍,投手,4.667,0,4,4,3,0,0.0,1.71,0.75,0.15,0.2,0.0,CPBL 官方全記錄查詢,0000006878,91.5,30.0,34.2,58.9,58.9,投手
2026,李致霖,味全龍,投手,9.333,5,6,11,5,0,4.82,1.82,0.45,0.1163,0.2558,0.0,CPBL 官方全記錄查詢,0000007305,88.4,23.3,26.9,53.7,53.7,投手
2026,劉予承,統一7-ELEVEn獅,投手,2.333,1,6,0,2,0,3.86,2.57,0.0,0.1429,0.0,0.0,CPBL 官方全記錄查詢,0000006222,85.2,28.6,50.0,60.5,60.5,投手
2026,王維中,台鋼雄鷹,投手,18.667,12,18,6,12,1,5.79,1.29,2.0,0.15,0.075,0.0125,CPBL 官方全記錄查詢,0000001603,90.6,30.0,53.6,64.4,64.4,投手
2026,江承峰,統一7-ELEVEn獅,投手,3.667,0,4,1,1,0,0.0,1.36,1.0,0.0588,0.0588,0.0,CPBL 官方全記錄查詢,0000003620,93.2,11.8,49.7,59.8,59.8,投手
2026,鄭凱文,中信兄弟,投手,4.0,0,3,1,2,0,0.0,1.0,2.0,0.1333,0.0667,0.0,CPBL 官方全記錄查詢,0000003334,95.0,26.7,54.4,65.7,65.7,投手
2026,陳暐皓,味全龍,投手,2.667,1,1,1,2,0,3.38,0.75,2.0,0.2,0.1,0.0,CPBL 官方全記錄查詢,0000006750,94.5,40.0,51.1,67.9,67.9,投手
2026,游霆崴,富邦悍將,投手,16.0,6,17,3,7,0,3.38,1.25,2.33,0.1029,0.0441,0.0,CPBL 官方全記錄查詢,0000000368,92.0,20.6,58.5,64.1,64.1,投手
2026,許承恩,台鋼雄鷹,投手,3.0,2,4,3,3,0,6.0,2.33,1.0,0.1765,0.1765,0.0,CPBL 官方全記錄查詢,0000007628,85.3,35.3,37.9,58.6,58.6,投手
