season,player_name,team,position,pa,ab,hits,doubles,triples,home_runs,walks,strikeouts,stolen_bases,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,source_note,player_id,contact_score,power_score,discipline_score,hitter_value_score,player_value_score,player_type
2026,曾頌恩,中信兄弟,野手,203,175,49,10,0,4,23,29,0,0.28,0.355,0.406,0.761,0.126,0.1133,0.1429,0.0197,0.79,CPBL 官方全記錄查詢,0000005569,28.000000000000004,46.1,58.3,40.7,40.7,打者
2026,董子恩,富邦悍將,野手,226,208,56,11,0,1,10,12,2,0.269,0.316,0.337,0.653,0.068,0.0442,0.0531,0.0044,1.25,CPBL 官方全記錄查詢,0000006737,26.900000000000002,21.3,53.6,32.4,32.4,打者
2026,梁家榮,樂天桃猿,野手,221,197,53,15,0,1,21,27,1,0.269,0.341,0.36,0.701,0.091,0.095,0.1222,0.0045,0.81,CPBL 官方全記錄查詢,0000000132,26.900000000000002,27.7,55.9,35.1,35.1,打者
2026,張皓崴,統一7-ELEVEn獅,野手,180,163,50,6,3,0,12,26,10,0.307,0.352,0.38,0.732,0.073,0.0667,0.1444,0.0,0.46,CPBL 官方全記錄查詢,0000007037,30.7,20.1,46.6,33.6,33.6,打者
2026,王政順,中信兄弟,野手,168,144,33,2,0,0,16,39,0,0.229,0.317,0.243,0.56,0.014,0.0952,0.2321,0.0,0.51,CPBL 官方全記錄查詢,0000002307,22.900000000000002,3.9,49.1,25.3,25.3,打者
2026,池恩齊,富邦悍將,野手,209,189,42,3,2,0,11,57,9,0.222,0.264,0.259,0.523,0.037,0.0526,0.2727,0.0,0.19,CPBL 官方全記錄查詢,0000006806,22.2,10.2,36.8,23.8,23.8,打者
2026,陳世嘉,台鋼雄鷹,野手,114,102,12,1,0,0,7,20,0,0.118,0.189,0.127,0.316,0.009,0.0614,0.1754,0.0,0.45,CPBL 官方全記錄查詢,0000007064,11.799999999999999,2.5,44.4,16.6,16.6,打者
2026,郭阜林,台鋼雄鷹,野手,150,140,35,5,0,1,7,32,0,0.25,0.3,0.307,0.607,0.057,0.0467,0.2133,0.0067,0.31,CPBL 官方全記錄查詢,0000001291,25.0,19.6,39.0,28.4,28.4,打者
2026,葉子霆,富邦悍將,野手,170,140,30,3,1,0,13,18,6,0.214,0.298,0.25,0.548,0.036,0.0765,0.1059,0.0,1.0,CPBL 官方全記錄查詢,0000006229,21.4,9.9,55.1,26.9,26.9,打者
2026,周佳樂,富邦悍將,野手,46,40,9,1,1,0,4,9,2,0.225,0.311,0.3,0.611,0.075,0.087,0.1957,0.0,0.56,CPBL 官方全記錄查詢,0000006868,22.5,20.7,49.4,29.8,29.8,打者
2026,張祐嘉,味全龍,野手,85,79,18,2,0,0,3,24,3,0.228,0.262,0.253,0.515,0.025,0.0235,0.2824,0.0,0.17,CPBL 官方全記錄查詢,0000006725,22.8,6.9,31.0,22.2,22.2,打者
2026,宋柏翰,台鋼雄鷹,野手,124,101,23,6,0,2,16,23,0,0.228,0.32,0.347,0.667,0.119,0.129,0.1855,0.0161,0.7,CPBL 官方全記錄查詢,0000007302,22.8,42.1,58.7,36.8,36.8,打者
2026,何品室融,樂天桃猿,野手,160,139,23,5,0,1,14,40,6,0.165,0.269,0.223,0.492,0.058,0.0875,0.25,0.0063,0.5,CPBL 官方全記錄查詢,0000007288,16.5,19.6,47.0,25.3,25.3,打者
2026,劉子杰,樂天桃猿,野手,174,166,42,6,0,1,6,14,0,0.253,0.277,0.307,0.584,0.054,0.0345,0.0805,0.0057,0.43,CPBL 官方全記錄查詢,0000007018,25.3,18.2,42.7,28.2,28.2,打者
2026,成晉,樂天桃猿,野手,140,122,25,3,0,0,8,21,3,0.205,0.285,0.23,0.515,0.025,0.0571,0.15,0.0,0.67,CPBL 官方全記錄查詢,0000000159,20.5,6.9,46.7,24.1,24.1,打者
2026,劉俊豪,富邦悍將,野手,60,55,10,0,0,0,4,8,0,0.182,0.237,0.182,0.419,0.0,0.0667,0.1333,0.0,0.5,CPBL 官方全記錄查詢,0000006743,18.2,0.0,47.3,20.2,20.2,打者
2026,林立,樂天桃猿,野手,158,148,43,5,1,1,6,21,3,0.291,0.321,0.358,0.679,0.067,0.019,0.1329,0.0063,0.33,CPBL 官方全記錄查詢,0000002286,29.099999999999998,22.1,37.1,31.1,31.1,打者
2026,藍寅倫,台鋼雄鷹,野手,112,101,32,6,0,1,9,17,7,0.317,0.375,0.406,0.781,0.089,0.0804,0.1518,0.0089,0.59,CPBL 官方全記錄查詢,0000003533,31.7,29.7,50.1,37.4,37.4,打者
2026,陳鏞基,統一7-ELEVEn獅,野手,117,101,27,1,0,0,14,15,2,0.267,0.35,0.277,0.627,0.01,0.1197,0.1282,0.0,0.93,CPBL 官方全記錄查詢,0000002661,26.700000000000003,2.8,61.4,29.2,29.2,打者
2026,林培緯,統一7-ELEVEn獅,野手,142,132,35,6,0,1,8,26,0,0.265,0.31,0.333,0.643,0.068,0.0563,0.1831,0.007,0.35,CPBL 官方全記錄查詢,0000006851,26.5,22.8,42.2,30.7,30.7,打者
2026,嚴宏鈞,樂天桃猿,野手,74,62,10,0,1,0,4,20,0,0.161,0.235,0.194,0.429,0.033,0.0541,0.2703,0.0,0.3,CPBL 官方全記錄查詢,0000004032,16.1,9.1,38.3,20.4,20.4,打者
2026,許庭綸,中信兄弟,野手,102,88,16,4,1,1,9,15,0,0.182,0.284,0.284,0.568,0.102,0.0882,0.1471,0.0098,0.87,CPBL 官方全記錄查詢,0000007278,18.2,33.8,54.4,31.3,31.3,打者
2026,童堉誠,富邦悍將,野手,121,103,26,1,2,0,13,29,4,0.252,0.355,0.301,0.656,0.049,0.1074,0.2397,0.0,0.59,CPBL 官方全記錄查詢,0000005336,25.2,13.5,51.8,30.3,30.3,打者
2026,張翔,統一7-ELEVEn獅,野手,104,98,23,3,1,1,3,19,0,0.235,0.265,0.316,0.581,0.081,0.0288,0.1827,0.0096,0.21,CPBL 官方全記錄查詢,0000006716,23.5,27.9,35.9,28.7,28.7,打者
2026,林書逸,富邦悍將,野手,95,84,19,3,1,0,9,21,1,0.226,0.309,0.286,0.595,0.06,0.0947,0.2211,0.0,0.48,CPBL 官方全記錄查詢,0000001754,22.6,16.5,49.1,28.6,28.6,打者
2026,威克,樂天桃猿,野手,166,151,34,8,1,8,10,31,4,0.225,0.283,0.45,0.733,0.225,0.0602,0.1867,0.0482,0.42,CPBL 官方全記錄查詢,0000007822,22.5,89.8,43.5,45.5,45.5,打者
2026,拿莫．伊漾,味全龍,野手,66,61,15,2,0,4,4,22,0,0.246,0.303,0.475,0.778,0.229,0.0606,0.3333,0.0606,0.23,CPBL 官方全記錄查詢,0000005546,24.6,98.1,36.5,47.5,47.5,打者
2026,林承飛,樂天桃猿,野手,110,102,20,3,0,0,6,22,0,0.196,0.248,0.225,0.473,0.029,0.0545,0.2,0.0,0.32,CPBL 官方全記錄查詢,0000000153,19.6,8.0,41.0,22.3,22.3,打者
2026,許基宏,中信兄弟,野手,132,108,20,5,1,0,20,29,0,0.185,0.326,0.25,0.576,0.065,0.1515,0.2197,0.0,0.79,CPBL 官方全記錄查詢,0000001119,18.5,17.9,62.5,29.6,29.6,打者
2026,曾聖安,味全龍,野手,95,83,14,1,0,1,9,23,3,0.169,0.247,0.217,0.464,0.048,0.0947,0.2421,0.0105,0.39,CPBL 官方全記錄查詢,0000007304,16.900000000000002,19.3,47.5,24.8,24.8,打者
2026,蔡佳諺,富邦悍將,野手,55,53,10,0,0,0,1,17,1,0.189,0.2,0.189,0.389,0.0,0.0182,0.3091,0.0,0.06,CPBL 官方全記錄查詢,0000006861,18.9,0.0,28.1,16.7,16.7,打者
2026,許賀捷,樂天桃猿,野手,38,34,6,0,0,0,3,12,2,0.176,0.243,0.176,0.419,0.0,0.0789,0.3158,0.0,0.25,CPBL 官方全記錄查詢,0000007589,17.599999999999998,0.0,40.6,19.0,19.0,打者
